"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMBUJACEM","EQ","02-May-2022","        372.20","        371.60","        380.50","        368.75","        376.85","        378.15","        376.70","    5959678","          2245021327.65","      64005","    1591126","         26.70"
"AMBUJACEM","EQ","04-May-2022","        378.15","        379.55","        382.00","        364.65","        369.00","        368.10","        371.77","    5415006","          2013149771.35","      90293","    1951512","         36.04"
"AMBUJACEM","EQ","05-May-2022","        368.10","        371.00","        375.35","        364.95","        368.00","        366.35","        370.50","    5794511","          2146866766.85","      68751","    2313988","         39.93"
"AMBUJACEM","EQ","06-May-2022","        366.35","        360.55","        372.35","        360.55","        365.55","        365.40","        366.85","    5868878","          2153018926.90","      66036","    1542090","         26.28"
"AMBUJACEM","EQ","09-May-2022","        365.40","        363.35","        369.00","        359.45","        366.00","        366.75","        364.78","    3690073","          1346059813.75","      41297","     794880","         21.54"
"AMBUJACEM","EQ","10-May-2022","        366.75","        368.55","        373.90","        355.00","        356.00","        358.20","        365.78","    6322735","          2312728668.30","      93084","    2343713","         37.07"
"AMBUJACEM","EQ","11-May-2022","        358.20","        360.00","        365.80","        351.20","        359.90","        359.05","        358.11","    5728451","          2051389070.85","      58016","    1895670","         33.09"
"AMBUJACEM","EQ","12-May-2022","        359.05","        356.85","        382.00","        349.30","        374.00","        373.55","        362.67","    7493279","          2717610573.30","      64751","    2584061","         34.49"
"AMBUJACEM","EQ","13-May-2022","        373.55","        378.00","        378.55","        356.10","        358.30","        359.10","        361.80","   10195371","          3688710560.40","     109911","    2173132","         21.31"
"AMBUJACEM","EQ","16-May-2022","        359.10","        367.00","        377.70","        360.35","        367.40","        368.00","        369.03","   50459752","         18621115228.00","     504451","   21726538","         43.06"
"AMBUJACEM","EQ","17-May-2022","        368.00","        371.00","        372.15","        364.00","        369.00","        368.80","        368.34","    9431128","          3473901611.30","     157132","    3536182","         37.49"
"AMBUJACEM","EQ","18-May-2022","        368.80","        369.25","        372.60","        359.70","        361.20","        361.10","        364.08","   11887905","          4328200743.85","     179443","    6360151","         53.50"
"AMBUJACEM","EQ","19-May-2022","        361.10","        358.15","        364.95","        357.25","        364.30","        364.00","        362.70","    9179791","          3329500572.15","     144950","    3792449","         41.31"
"AMBUJACEM","EQ","20-May-2022","        364.00","        368.00","        368.00","        362.05","        363.45","        363.00","        364.50","    4308673","          1570490455.60","      76120","    1962143","         45.54"
"AMBUJACEM","EQ","23-May-2022","        363.00","        365.65","        367.30","        362.40","        363.20","        363.45","        365.37","    3889679","          1421165040.05","      76635","    1806179","         46.44"
"AMBUJACEM","EQ","24-May-2022","        363.45","        364.80","        365.70","        360.45","        361.80","        361.45","        362.82","    4200025","          1523872262.45","      31706","    2298049","         54.72"
"AMBUJACEM","EQ","25-May-2022","        361.45","        362.40","        364.25","        360.65","        362.00","        361.70","        362.39","    2440985","           884592573.45","      21830","    1134058","         46.46"
"AMBUJACEM","EQ","26-May-2022","        361.70","        362.15","        366.30","        359.70","        365.55","        365.40","        363.19","    3900318","          1416548155.75","      42244","    1403178","         35.98"
"AMBUJACEM","EQ","27-May-2022","        365.40","        368.00","        368.15","        363.75","        365.60","        366.30","        365.83","    1603075","           586453335.15","      20260","     514951","         32.12"
"AMBUJACEM","EQ","30-May-2022","        366.30","        368.50","        372.50","        366.75","        371.25","        371.55","        369.75","    5001959","          1849478410.55","      59109","    2408715","         48.16"
"AMBUJACEM","EQ","31-May-2022","        371.55","        371.55","        372.80","        368.65","        370.40","        369.40","        369.61","   11507115","          4253131641.60","      54133","    9846524","         85.57"
"AMBUJACEM","EQ","01-Jun-2022","        369.40","        370.00","        373.00","        369.15","        372.00","        371.65","        371.38","    2369910","           880125435.30","      27825","     918420","         38.75"
"AMBUJACEM","EQ","02-Jun-2022","        371.65","        371.40","        376.35","        370.95","        373.90","        373.50","        374.24","    5215564","          1951891429.60","      46825","    2739255","         52.52"
"AMBUJACEM","EQ","03-Jun-2022","        373.50","        375.00","        375.35","        365.35","        368.50","        366.90","        367.64","    8010976","          2945176095.60","      89453","    4934292","         61.59"
"AMBUJACEM","EQ","06-Jun-2022","        366.90","        366.00","        369.50","        363.85","        364.50","        364.90","        365.91","   10390245","          3801918671.45","     123115","    7455800","         71.76"
"AMBUJACEM","EQ","07-Jun-2022","        364.90","        363.60","        367.50","        361.70","        363.20","        363.35","        363.95","    5708056","          2077442226.30","      66482","    3713621","         65.06"
"AMBUJACEM","EQ","08-Jun-2022","        363.35","        363.40","        364.55","        361.80","        363.40","        363.05","        362.75","    5020929","          1821316906.90","      46219","    3412163","         67.96"
"AMBUJACEM","EQ","09-Jun-2022","        363.05","        363.00","        368.50","        362.50","        364.80","        365.30","        365.91","    5238450","          1916812810.10","      40523","    2839374","         54.20"
"AMBUJACEM","EQ","10-Jun-2022","        365.30","        363.25","        366.60","        363.25","        365.25","        365.15","        365.68","    3916129","          1432031906.50","      18616","    2158953","         55.13"
"AMBUJACEM","EQ","13-Jun-2022","        365.15","        363.05","        364.95","        361.90","        362.80","        362.70","        362.86","    4509163","          1636182626.80","      50291","    2710272","         60.11"
"AMBUJACEM","EQ","14-Jun-2022","        362.70","        362.10","        363.30","        358.00","        358.95","        359.55","        360.83","    6976071","          2517209455.40","      48889","    3763126","         53.94"
"AMBUJACEM","EQ","15-Jun-2022","        359.55","        359.90","        362.45","        359.00","        361.65","        361.95","        361.46","    4077501","          1473873413.15","      25939","    2853992","         69.99"
"AMBUJACEM","EQ","16-Jun-2022","        361.95","        363.85","        364.15","        358.65","        360.50","        359.40","        360.50","    2940387","          1060005730.50","      50458","    1695519","         57.66"
"AMBUJACEM","EQ","17-Jun-2022","        359.40","        359.00","        361.05","        356.65","        357.20","        357.35","        358.06","    4012167","          1436602007.05","      69859","    2313794","         57.67"
"AMBUJACEM","EQ","20-Jun-2022","        357.35","        357.50","        359.95","        356.10","        357.00","        357.30","        357.83","    2297837","           822226736.00","      20096","    1035190","         45.05"
